Category: All categories
Week,hurricane: (Worldwide)
2015-04-12,1
2015-04-19,1
2015-04-26,1
2015-05-03,1
2015-05-10,1
2015-05-17,1
2015-05-24,1
2015-05-31,1
2015-06-07,1
2015-06-14,2
2015-06-21,1
2015-06-28,1
2015-07-05,1
2015-07-12,1
2015-07-19,1
2015-07-26,1
2015-08-02,1
2015-08-09,1
2015-08-16,3
2015-08-23,7
2015-08-30,3
2015-09-06,1
2015-09-13,1
2015-09-20,1
2015-09-27,9
2015-10-04,3
2015-10-11,1
2015-10-18,11
2015-10-25,3
2015-11-01,1
2015-11-08,1
2015-11-15,1
2015-11-22,1
2015-11-29,1
2015-12-06,1
2015-12-13,1
2015-12-20,1
2015-12-27,1
2016-01-03,1
2016-01-10,1
2016-01-17,1
2016-01-24,1
2016-01-31,1
2016-02-07,1
2016-02-14,1
2016-02-21,1
2016-02-28,1
2016-03-06,1
2016-03-13,1
2016-03-20,1
2016-03-27,1
2016-04-03,1
2016-04-10,1
2016-04-17,1
2016-04-24,1
2016-05-01,1
2016-05-08,1
2016-05-15,1
2016-05-22,1
2016-05-29,1
2016-06-05,1
2016-06-12,1
2016-06-19,1
2016-06-26,1
2016-07-03,1
2016-07-10,1
2016-07-17,1
2016-07-24,1
2016-07-31,2
2016-08-07,1
2016-08-14,1
2016-08-21,3
2016-08-28,7
2016-09-04,2
2016-09-11,1
2016-09-18,1
2016-09-25,4
2016-10-02,57
2016-10-09,8
2016-10-16,2
2016-10-23,1
2016-10-30,1
2016-11-06,1
2016-11-13,1
2016-11-20,1
2016-11-27,1
2016-12-04,1
2016-12-11,1
2016-12-18,1
2016-12-25,1
2017-01-01,1
2017-01-08,1
2017-01-15,1
2017-01-22,1
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,1
2017-02-26,1
2017-03-05,1
2017-03-12,1
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,1
2017-05-07,1
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,1
2017-06-11,1
2017-06-18,2
2017-06-25,1
2017-07-02,1
2017-07-09,1
2017-07-16,1
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,1
2017-08-20,17
2017-08-27,22
2017-09-03,100
2017-09-10,46
2017-09-17,22
2017-09-24,5
2017-10-01,6
2017-10-08,4
2017-10-15,5
2017-10-22,2
2017-10-29,2
2017-11-05,1
2017-11-12,1
2017-11-19,1
2017-11-26,1
2017-12-03,1
2017-12-10,1
2017-12-17,1
2017-12-24,1
2017-12-31,1
2018-01-07,1
2018-01-14,1
2018-01-21,1
2018-01-28,1
2018-02-04,1
2018-02-11,1
2018-02-18,1
2018-02-25,1
2018-03-04,1
2018-03-11,1
2018-03-18,1
2018-03-25,1
2018-04-01,1
2018-04-08,1
2018-04-15,1
2018-04-22,1
2018-04-29,1
2018-05-06,1
2018-05-13,1
2018-05-20,2
2018-05-27,2
2018-06-03,1
2018-06-10,2
2018-06-17,1
2018-06-24,1
2018-07-01,2
2018-07-08,2
2018-07-15,1
2018-07-22,1
2018-07-29,1
2018-08-05,2
2018-08-12,1
2018-08-19,8
2018-08-26,2
2018-09-02,7
2018-09-09,53
2018-09-16,8
2018-09-23,3
2018-09-30,2
2018-10-07,24
2018-10-14,3
2018-10-21,3
2018-10-28,1
2018-11-04,1
2018-11-11,1
2018-11-18,1
2018-11-25,1
2018-12-02,1
2018-12-09,1
2018-12-16,1
2018-12-23,1
2018-12-30,1
2019-01-06,1
2019-01-13,1
2019-01-20,1
2019-01-27,1
2019-02-03,1
2019-02-10,1
2019-02-17,1
2019-02-24,1
2019-03-03,1
2019-03-10,1
2019-03-17,1
2019-03-24,1
2019-03-31,1
2019-04-07,1
2019-04-14,1
2019-04-21,1
2019-04-28,1
2019-05-05,1
2019-05-12,1
2019-05-19,1
2019-05-26,1
2019-06-02,1
2019-06-09,1
2019-06-16,1
2019-06-23,1
2019-06-30,1
2019-07-07,4
2019-07-14,2
2019-07-21,1
2019-07-28,2
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,26
2019-09-01,41
2019-09-08,5
2019-09-15,3
2019-09-22,3
2019-09-29,3
2019-10-06,1
2019-10-13,1
2019-10-20,1
2019-10-27,1
2019-11-03,1
2019-11-10,1
2019-11-17,1
2019-11-24,1
2019-12-01,1
2019-12-08,1
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,1
2020-03-08,1
2020-03-15,1
2020-03-22,1
2020-03-29,1
