Category: All categories
Week,tennis: (Worldwide)
2015-04-12,31
2015-04-19,30
2015-04-26,27
2015-05-03,31
2015-05-10,35
2015-05-17,31
2015-05-24,40
2015-05-31,55
2015-06-07,38
2015-06-14,37
2015-06-21,34
2015-06-28,49
2015-07-05,59
2015-07-12,41
2015-07-19,28
2015-07-26,27
2015-08-02,27
2015-08-09,31
2015-08-16,35
2015-08-23,31
2015-08-30,61
2015-09-06,77
2015-09-13,43
2015-09-20,25
2015-09-27,24
2015-10-04,24
2015-10-11,27
2015-10-18,23
2015-10-25,25
2015-11-01,27
2015-11-08,22
2015-11-15,28
2015-11-22,23
2015-11-29,20
2015-12-06,20
2015-12-13,19
2015-12-20,18
2015-12-27,19
2016-01-03,27
2016-01-10,25
2016-01-17,39
2016-01-24,47
2016-01-31,30
2016-02-07,25
2016-02-14,25
2016-02-21,26
2016-02-28,24
2016-03-06,26
2016-03-13,30
2016-03-20,29
2016-03-27,29
2016-04-03,26
2016-04-10,31
2016-04-17,30
2016-04-24,27
2016-05-01,32
2016-05-08,36
2016-05-15,30
2016-05-22,40
2016-05-29,42
2016-06-05,36
2016-06-12,34
2016-06-19,30
2016-06-26,44
2016-07-03,53
2016-07-10,36
2016-07-17,26
2016-07-24,28
2016-07-31,29
2016-08-07,60
2016-08-14,44
2016-08-21,27
2016-08-28,45
2016-09-04,63
2016-09-11,36
2016-09-18,24
2016-09-25,22
2016-10-02,24
2016-10-09,25
2016-10-16,23
2016-10-23,24
2016-10-30,26
2016-11-06,20
2016-11-13,26
2016-11-20,22
2016-11-27,19
2016-12-04,18
2016-12-11,18
2016-12-18,17
2016-12-25,18
2017-01-01,27
2017-01-08,23
2017-01-15,36
2017-01-22,48
2017-01-29,36
2017-02-05,24
2017-02-12,25
2017-02-19,25
2017-02-26,27
2017-03-05,25
2017-03-12,31
2017-03-19,29
2017-03-26,35
2017-04-02,28
2017-04-09,25
2017-04-16,30
2017-04-23,32
2017-04-30,28
2017-05-07,33
2017-05-14,37
2017-05-21,30
2017-05-28,41
2017-06-04,46
2017-06-11,34
2017-06-18,35
2017-06-25,36
2017-07-02,50
2017-07-09,60
2017-07-16,37
2017-07-23,27
2017-07-30,27
2017-08-06,32
2017-08-13,34
2017-08-20,30
2017-08-27,61
2017-09-03,89
2017-09-10,37
2017-09-17,25
2017-09-24,24
2017-10-01,26
2017-10-08,28
2017-10-15,25
2017-10-22,26
2017-10-29,26
2017-11-05,22
2017-11-12,27
2017-11-19,24
2017-11-26,21
2017-12-03,18
2017-12-10,18
2017-12-17,17
2017-12-24,18
2017-12-31,26
2018-01-07,27
2018-01-14,41
2018-01-21,52
2018-01-28,33
2018-02-04,24
2018-02-11,29
2018-02-18,26
2018-02-25,25
2018-03-04,26
2018-03-11,32
2018-03-18,30
2018-03-25,31
2018-04-01,26
2018-04-08,27
2018-04-15,31
2018-04-22,30
2018-04-29,29
2018-05-06,34
2018-05-13,40
2018-05-20,35
2018-05-27,46
2018-06-03,52
2018-06-10,37
2018-06-17,39
2018-06-24,35
2018-07-01,42
2018-07-08,60
2018-07-15,36
2018-07-22,27
2018-07-29,29
2018-08-05,32
2018-08-12,38
2018-08-19,33
2018-08-26,70
2018-09-02,100
2018-09-09,43
2018-09-16,26
2018-09-23,25
2018-09-30,25
2018-10-07,28
2018-10-14,24
2018-10-21,25
2018-10-28,29
2018-11-04,23
2018-11-11,27
2018-11-18,23
2018-11-25,19
2018-12-02,18
2018-12-09,18
2018-12-16,17
2018-12-23,19
2018-12-30,28
2019-01-06,30
2019-01-13,42
2019-01-20,52
2019-01-27,30
2019-02-03,23
2019-02-10,25
2019-02-17,27
2019-02-24,30
2019-03-03,26
2019-03-10,34
2019-03-17,33
2019-03-24,38
2019-03-31,28
2019-04-07,26
2019-04-14,33
2019-04-21,34
2019-04-28,30
2019-05-05,38
2019-05-12,45
2019-05-19,34
2019-05-26,49
2019-06-02,62
2019-06-09,40
2019-06-16,42
2019-06-23,37
2019-06-30,58
2019-07-07,63
2019-07-14,54
2019-07-21,30
2019-07-28,32
2019-08-04,37
2019-08-11,39
2019-08-18,34
2019-08-25,71
2019-09-01,98
2019-09-08,42
2019-09-15,27
2019-09-22,26
2019-09-29,29
2019-10-06,32
2019-10-13,27
2019-10-20,28
2019-10-27,32
2019-11-03,25
2019-11-10,35
2019-11-17,27
2019-11-24,20
2019-12-01,20
2019-12-08,20
2019-12-15,20
2019-12-22,19
2019-12-29,21
2020-01-05,29
2020-01-12,28
2020-01-19,45
2020-01-26,60
2020-02-02,34
2020-02-09,27
2020-02-16,29
2020-02-23,31
2020-03-01,25
2020-03-08,20
2020-03-15,14
2020-03-22,14
2020-03-29,14
